DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-01,2.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-02,2.3,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-03,1.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-04,1.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-05,1.7,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-06,1.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-07,1.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-08,1.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-09,1.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-10,1.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-11,1.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2019-12,1.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-01,1.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-02,1.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-03,2.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-04,2.3,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-05,2.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-06,2.2,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-07,2.2,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-08,2.1,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-09,2.3,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-10,2.9,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-11,2.2,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2020-12,1.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-01,0.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-02,1.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-03,1.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-04,2.1,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-05,2.3,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-06,2.1,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-07,2.7,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-08,2.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-09,2.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-10,2.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-11,3.3,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2021-12,3.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-01,3.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-02,4.0,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-03,5.7,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-04,6.1,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-05,6.0,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-06,6.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-07,7.2,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-08,7.7,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-09,7.9,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-10,8.0,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-11,8.0,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2022-12,7.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-01,7.1,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-02,6.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-03,5.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-04,5.0,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-05,5.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-06,5.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-07,5.0,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-08,4.7,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-09,4.9,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-10,4.7,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-11,4.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2023-12,4.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-01,3.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-02,2.8,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-03,2.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-04,2.3,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-05,2.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-06,2.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-07,2.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-08,2.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-09,2.3,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-10,2.3,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-11,2.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2024-12,2.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2025-01,2.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2025-02,2.4,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2025-03,2.5,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Albania,2025-04,2.6,d,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-01,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-02,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-03,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-04,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-05,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-06,1.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-07,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-08,1.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-09,1.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-10,1.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-11,1.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2019-12,1.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-01,2.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-02,2.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-03,1.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-04,1.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-05,0.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-06,1.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-07,1.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-08,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-09,1.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-10,1.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-11,1.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2020-12,1.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-01,1.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-02,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-03,2.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-04,1.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-05,3.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-06,2.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-07,2.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-08,3.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-09,3.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-10,3.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-11,4.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2021-12,3.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-01,4.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-02,5.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-03,6.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-04,7.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-05,7.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-06,8.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-07,9.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-08,9.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-09,11.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-10,11.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-11,11.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2022-12,10.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-01,11.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-02,11.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-03,9.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-04,9.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-05,8.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-06,7.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-07,7.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-08,7.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-09,5.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-10,4.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-11,4.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2023-12,5.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-01,4.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-02,4.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-03,4.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-04,3.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-05,3.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-06,3.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-07,2.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-08,2.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-09,1.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-10,1.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-11,1.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2024-12,2.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2025-01,3.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2025-02,3.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2025-03,3.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2025-04,3.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Austria,2025-05,3.0,e,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-01,1.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-02,2.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-03,2.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-04,2.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-05,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-06,1.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-07,1.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-08,0.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-09,0.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-10,0.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-11,0.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2019-12,0.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-01,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-02,1.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-03,0.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-04,0.0,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-05,-0.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-06,0.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-07,1.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-08,-0.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-09,0.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-10,0.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-11,0.2,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2020-12,0.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-01,0.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-02,0.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-03,1.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-04,2.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-05,2.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-06,2.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-07,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-08,4.7,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-09,3.8,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-10,5.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-11,7.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2021-12,6.6,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-01,8.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-02,9.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-03,9.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-04,9.3,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-05,9.9,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-06,10.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-07,10.4,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-08,10.5,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-09,12.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-10,13.1,,
ESTAT:PRC_HICP_MANR(1.0),03/06/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Belgium,2022-11,10.5,,
